date,Afluente_SN,a,b,Temp_C,Qobs_m3s,P_mm,PET_mm
1950/02/10,0,,,18.46,0.999,0.000,3.252
1950/02/11,2,,,18.46,0.994,2.000,3.252
1950/02/12,2,,,18.46,0.988,2.000,3.252
1950/02/13,0,,,18.46,0.968,0.000,3.252
1950/02/14,0,,,18.46,0.949,0.000,3.252
1950/02/15,0,,,18.46,0.930,0.000,3.252
1950/02/16,3.4,,,18.46,0.929,3.400,3.252
1950/02/17,0,,,18.46,0.910,0.000,3.252
1950/02/18,0,,,18.46,0.892,0.000,3.252
1950/02/19,0,,,18.46,0.874,0.000,3.252
1950/02/20,0,,,18.46,0.857,0.000,3.252
1950/02/21,0,,,18.46,0.840,0.000,3.252
1950/02/22,6,,,18.46,0.843,6.000,3.252
1950/02/23,0.8,,,18.46,0.829,0.800,3.252
1950/02/24,0,,,18.46,0.813,0.000,3.252
1950/02/25,3,,,18.46,0.806,3.000,3.252
1950/02/26,0,,,18.46,0.790,0.000,3.252
1950/02/27,14.8,,,18.46,0.817,14.800,3.252
1950/02/28,5.5,,,18.46,0.824,5.500,3.252
1950/03/1,22,,,18.46,2.425,22.000,3.252
1950/03/2,19,,,18.46,3.685,19.000,3.252
1950/03/3,0,,,18.46,0.900,0.000,3.252
1950/03/4,40,,,18.46,11.845,40.000,3.252
1950/03/5,9.5,,,18.46,2.619,9.500,3.252
1950/03/6,23.09,,,18.46,9.307,23.090,3.252
1950/03/7,15,,,18.46,5.691,15.000,3.252
1950/03/8,0.5,,,18.46,1.064,0.500,3.252
1950/03/9,0,,,18.46,1.043,0.000,3.252
1950/03/10,0,,,18.46,1.022,0.000,3.252
1950/03/11,2.5,,,18.46,1.022,2.500,3.252
1950/03/12,0,,,18.46,1.002,0.000,3.252
1950/03/13,0,,,18.46,0.982,0.000,3.252
1950/03/14,0,,,18.46,0.962,0.000,3.252
1950/03/15,1.5,,,18.46,0.953,1.500,3.252
1950/03/16,23,,,18.46,4.768,23.000,3.252
1950/03/17,0.5,,,18.46,0.982,0.500,3.252
1950/03/18,0,,,18.46,0.962,0.000,3.252
1950/03/19,0,,,18.46,0.943,0.000,3.252
1950/03/20,11.1,,,18.46,1.266,11.100,3.252
1950/03/21,1.2,,,18.46,0.977,1.200,3.252
1950/03/22,2,,,18.46,0.970,2.000,3.252
1950/03/23,0,,,18.46,0.951,0.000,3.252
1950/03/24,0,,,18.46,0.932,0.000,3.252
1950/03/25,2,,,18.46,0.924,2.000,3.252
1950/03/26,16,,,18.46,1.785,16.000,3.252
1950/03/27,0.8,,,18.46,0.955,0.800,3.252
1950/03/28,1,,,18.46,0.942,1.000,3.252
1950/03/29,0,,,18.46,0.923,0.000,3.252
1950/03/30,0,,,18.46,0.905,0.000,3.252
1950/03/31,0,,,18.46,0.887,0.000,3.252
1950/04/1,14,,,18.46,0.930,14.000,3.252
1950/04/2,23.1,,,18.46,3.988,23.100,3.252
1950/04/3,4,,,18.46,0.985,4.000,3.252
1950/04/4,0,,,18.46,0.965,0.000,3.252
1950/04/5,1,,,18.46,0.953,1.000,3.252
1950/04/6,20.8,,,18.46,4.227,20.800,3.252
1950/04/7,0.5,,,18.46,0.982,0.500,3.252
1950/04/8,1.7,,,18.46,0.974,1.700,3.252
1950/04/9,1,,,18.46,0.962,1.000,3.252
1950/04/10,0,,,18.46,0.943,0.000,3.252
1950/04/11,0,,,18.46,0.924,0.000,3.252
1950/04/12,0,,,18.46,0.905,0.000,3.252
1950/04/13,0,,,18.46,0.887,0.000,3.252
1950/04/14,0,,,18.46,0.869,0.000,3.252
1950/04/15,34,,,18.46,5.041,34.000,3.252
1950/04/16,1.8,,,18.46,0.912,1.800,3.252
1950/04/17,0,,,18.46,0.894,0.000,3.252
1950/04/18,1.5,,,18.46,0.886,1.500,3.252
1950/04/19,29.8,,,18.46,7.335,29.800,3.252
1950/04/20,14,,,18.46,3.925,14.000,3.252
1950/04/21,0.7,,,18.46,0.965,0.700,3.252
1950/04/22,1.3,,,18.46,0.957,1.300,3.252
1950/04/23,11.5,,,18.46,2.399,11.500,3.252
1950/04/24,3.2,,,18.46,1.009,3.200,3.252
1950/04/25,25.5,,,18.46,7.985,25.500,3.252
1950/04/26,3.9,,,18.46,1.069,3.900,3.252
1950/04/27,20,,,18.46,6.854,20.000,3.252
1950/04/28,2,,,18.46,1.109,2.000,3.252
1950/04/29,26.29,,,18.46,9.868,26.290,3.252
1950/04/30,27,,,18.46,11.630,27.000,3.252
1950/05/1,4,,,18.46,1.211,4.000,3.252
1950/05/2,2,,,18.46,1.207,2.000,3.252
1950/05/3,3.5,,,18.46,1.217,3.500,3.252
1950/05/4,1,,,18.46,1.202,1.000,3.252
1950/05/5,11.7,,,18.46,3.026,11.700,3.252
1950/05/6,4,,,18.46,1.252,4.000,3.252
1950/05/7,14.2,,,18.46,4.044,14.200,3.252
1950/05/8,4.1,,,18.46,1.302,4.100,3.252
1950/05/9,22,,,18.46,7.446,22.000,3.252
1950/05/10,2,,,18.46,1.332,2.000,3.252
1950/05/11,10,,,18.46,2.607,10.000,3.252
1950/05/12,0,,,18.46,1.342,0.000,3.252
1950/05/13,4.5,,,18.46,1.353,4.500,3.252
1950/05/14,27.5,,,18.46,9.245,27.500,3.252
1950/05/15,22.7,,,18.46,9.103,22.700,3.252
1950/05/16,1.3,,,18.46,1.412,1.300,3.252
1950/05/17,3.5,,,18.46,1.417,3.500,3.252
1950/05/18,4.5,,,18.46,1.430,4.500,3.252
1950/05/19,19.2,,,18.46,6.662,19.200,3.252
1950/05/20,1.8,,,18.46,1.453,1.800,3.252
1950/05/21,2.1,,,18.46,1.443,2.100,3.252
1950/05/22,8,,,18.46,1.626,8.000,3.252
1950/05/23,22.5,,,18.46,7.727,22.500,3.252
1950/05/24,11,,,18.46,3.508,11.000,3.252
1950/05/25,15.5,,,18.46,5.649,15.500,3.252
1950/05/26,5,,,18.46,1.597,5.000,3.252
1950/05/27,21,,,18.46,8.140,21.000,3.252
1950/05/28,2,,,18.46,1.617,2.000,3.252
1950/05/29,0.3,,,18.46,1.587,0.300,3.252
1950/05/30,1.8,,,18.46,1.571,1.800,3.252
1950/05/31,8.5,,,18.46,1.880,8.500,3.252
1950/06/1,3,,,18.46,1.597,3.000,3.252
1950/06/2,5.3,,,18.46,1.607,5.300,3.252
1950/06/3,12.6,,,18.46,3.290,12.600,3.252
1950/06/4,0.8,,,18.46,1.613,0.800,3.252
1950/06/5,15,,,18.46,4.162,15.000,3.252
1950/06/6,38.7,,,18.46,14.502,38.700,3.252
1950/06/7,2.5,,,18.46,1.669,2.500,3.252
1950/06/8,27,,,18.46,12.018,27.000,3.252
1950/06/9,0.8,,,18.46,1.675,0.800,3.252
1950/06/10,6.199,,,18.46,1.703,6.199,3.252
1950/06/11,2.2,,,18.46,1.691,2.200,3.252
1950/06/12,17.5,,,18.46,6.460,17.500,3.252
1950/06/13,15.3,,,18.46,5.842,15.300,3.252
1950/06/14,12.7,,,18.46,4.755,12.700,3.252
1950/06/15,6.5,,,18.46,1.808,6.500,3.252
1950/06/16,0,,,18.46,1.772,0.000,3.252
1950/06/17,4,,,18.46,1.772,4.000,3.252
1950/06/18,5.5,,,18.46,1.783,5.500,3.252
1950/06/19,2,,,18.46,1.764,2.000,3.252
1950/06/20,23.5,,,18.46,7.740,23.500,3.252
1950/06/21,6.3,,,18.46,1.814,6.300,3.252
1950/06/22,1.201,,,18.46,1.789,1.201,3.252
1950/06/23,1.5,,,18.46,1.765,1.500,3.252
1950/06/24,42.09,,,18.46,15.105,42.090,3.252
1950/06/25,8.8,,,18.46,3.334,8.800,3.252
1950/06/26,0,,,18.46,1.786,0.000,3.252
1950/06/27,14,,,18.46,5.366,14.000,3.252
1950/06/28,12.5,,,18.46,4.729,12.500,3.252
1950/06/29,3.5,,,18.46,1.840,3.500,3.252
1950/06/30,30.7,,,18.46,12.894,30.700,3.252
1950/07/1,4.6,,,18.46,1.879,4.600,3.252
1950/07/2,2.2,,,18.46,1.863,2.200,3.252
1950/07/3,2.6,,,18.46,1.851,2.600,3.252
1950/07/4,0,,,18.46,1.814,0.000,3.252
1950/07/5,0,,,18.46,1.777,0.000,3.252
1950/07/6,0,,,18.46,1.742,0.000,3.252
1950/07/7,12.2,,,18.46,2.940,12.200,3.252
1950/07/8,0,,,18.46,1.736,0.000,3.252
1950/07/9,1.5,,,18.46,1.712,1.500,3.252
1950/07/10,1,,,18.46,1.684,1.000,3.252
1950/07/11,1.6,,,18.46,1.661,1.600,3.252
1950/07/12,1.8,,,18.46,1.639,1.800,3.252
1950/07/13,2.8,,,18.46,1.622,2.800,3.252
1950/07/14,0,,,18.46,1.589,0.000,3.252
1950/07/15,7.5,,,18.46,1.596,7.500,3.252
1950/07/16,1,,,18.46,1.570,1.000,3.252
1950/07/17,0,,,18.46,1.538,0.000,3.252
1950/07/18,0,,,18.46,1.508,0.000,3.252
1950/07/19,0,,,18.46,1.477,0.000,3.252
1950/07/20,0,,,18.46,1.448,0.000,3.252
1950/07/21,0,,,18.46,1.419,0.000,3.252
1950/07/22,0,,,18.46,1.390,0.000,3.252
1950/07/23,0,,,18.46,1.363,0.000,3.252
1950/07/24,0,,,18.46,1.335,0.000,3.252
1950/07/25,0,,,18.46,1.309,0.000,3.252
1950/07/26,0,,,18.46,1.283,0.000,3.252
1950/07/27,0,,,18.46,1.257,0.000,3.252
1950/07/28,0,,,18.46,1.232,0.000,3.252
1950/07/29,4.8,,,18.46,1.216,4.800,3.252
1950/07/30,21.8,,,18.46,1.235,21.800,3.252
1950/07/31,6.8,,,18.46,1.237,6.800,3.252
1950/08/1,5.8,,,18.46,1.238,5.800,3.252
1950/08/2,0,,,18.46,1.213,0.000,3.252
1950/08/3,25.3,,,18.46,3.308,25.300,3.252
1950/08/4,24,,,18.46,5.927,24.000,3.252
1950/08/5,0,,,18.46,1.267,0.000,3.252
1950/08/6,0,,,18.46,1.241,0.000,3.252
1950/08/7,6.8,,,18.46,1.265,6.800,3.252
1950/08/8,7.5,,,18.46,1.294,7.500,3.252
1950/08/9,3,,,18.46,1.290,3.000,3.252
1950/08/10,1,,,18.46,1.271,1.000,3.252
1950/08/11,9.5,,,18.46,1.308,9.500,3.252
1950/08/12,0,,,18.46,1.282,0.000,3.252
1950/08/13,8.5,,,18.46,1.311,8.500,3.252
1950/08/14,1.8,,,18.46,1.297,1.800,3.252
1950/08/15,11.2,,,18.46,1.690,11.200,3.252
1950/08/16,5.3,,,18.46,1.345,5.300,3.252
1950/08/17,21.7,,,18.46,5.607,21.700,3.252
1950/08/18,0,,,18.46,1.355,0.000,3.252
1950/08/19,4.8,,,18.46,1.365,4.800,3.252
1950/08/20,0.5,,,18.46,1.342,0.500,3.252
1950/08/21,2,,,18.46,1.329,2.000,3.252
1950/08/22,0,,,18.46,1.302,0.000,3.252
1950/08/23,10.79,,,18.46,1.468,10.790,3.252
1950/08/24,16.2,,,18.46,3.605,16.200,3.252
1950/08/25,6.8,,,18.46,1.403,6.800,3.252
1950/08/26,0.5,,,18.46,1.378,0.500,3.252
1950/08/27,13.5,,,18.46,3.018,13.500,3.252
1950/08/28,0,,,18.46,1.387,0.000,3.252
1950/08/29,0.7,,,18.46,1.364,0.700,3.252
1950/08/30,9.2,,,18.46,1.399,9.200,3.252
1950/08/31,13.8,,,18.46,3.084,13.800,3.252
1950/09/1,18.5,,,18.46,5.388,18.500,3.252
1950/09/2,0,,,18.46,1.442,0.000,3.252
1950/09/3,0,,,18.46,1.413,0.000,3.252
1950/09/4,0,,,18.46,1.385,0.000,3.252
1950/09/5,0,,,18.46,1.357,0.000,3.252
1950/09/6,10.7,,,18.46,1.619,10.700,3.252
1950/09/7,1.7,,,18.46,1.378,1.700,3.252
1950/09/8,27.5,,,18.46,7.213,27.500,3.252
1950/09/9,0,,,18.46,1.387,0.000,3.252
1950/09/10,0,,,18.46,1.359,0.000,3.252
1950/09/11,0,,,18.46,1.332,0.000,3.252
1950/09/12,0,,,18.46,1.305,0.000,3.252
1950/09/13,0,,,18.46,1.279,0.000,3.252
1950/09/14,0,,,18.46,1.253,0.000,3.252
1950/09/15,0,,,18.46,1.228,0.000,3.252
1950/09/16,0,,,18.46,1.204,0.000,3.252
1950/09/17,0,,,18.46,1.180,0.000,3.252
1950/09/18,0,,,18.46,1.156,0.000,3.252
1950/09/19,6.3,,,18.46,1.158,6.300,3.252
1950/09/20,0.5,,,18.46,1.137,0.500,3.252
1950/09/21,0,,,18.46,1.114,0.000,3.252
1950/09/22,0,,,18.46,1.092,0.000,3.252
1950/09/23,2.8,,,18.46,1.080,2.800,3.252
1950/09/24,0,,,18.46,1.058,0.000,3.252
1950/09/25,0,,,18.46,1.037,0.000,3.252
1950/09/26,0,,,18.46,1.016,0.000,3.252
1950/09/27,12,,,18.46,1.027,12.000,3.252
1950/09/28,6.6,,,18.46,1.029,6.600,3.252
1950/09/29,6,,,18.46,1.032,6.000,3.252
1950/09/30,0,,,18.46,1.011,0.000,3.252
1950/10/1,1.5,,,18.46,0.996,1.500,3.252
1950/10/2,0,,,18.46,0.976,0.000,3.252
1950/10/3,6.5,,,18.46,0.978,6.500,3.252
1950/10/4,18.9,,,18.46,1.247,18.900,3.252
1950/10/5,25.8,,,18.46,4.692,25.800,3.252
1950/10/6,1.8,,,18.46,1.059,1.800,3.252
1950/10/7,5.5,,,18.46,1.077,5.500,3.252
1950/10/8,0,,,18.46,1.056,0.000,3.252
1950/10/9,1.8,,,18.46,1.047,1.800,3.252
1950/10/10,0,,,18.46,1.026,0.000,3.252
1950/10/11,4.5,,,18.46,1.031,4.500,3.252
1950/10/12,9,,,18.46,1.062,9.000,3.252
1950/10/13,13.8,,,18.46,2.141,13.800,3.252
1950/10/14,10.4,,,18.46,1.558,10.400,3.252
1950/10/15,6,,,18.46,1.169,6.000,3.252
1950/10/16,7,,,18.46,1.197,7.000,3.252
1950/10/17,0,,,18.46,1.173,0.000,3.252
1950/10/18,7,,,18.46,1.197,7.000,3.252
1950/10/19,10,,,18.46,1.482,10.000,3.252
1950/10/20,0,,,18.46,1.213,0.000,3.252
1950/10/21,0,,,18.46,1.189,0.000,3.252
1950/10/22,0,,,18.46,1.165,0.000,3.252
1950/10/23,2,,,18.46,1.153,2.000,3.252
1950/10/24,0,,,18.46,1.130,0.000,3.252
1950/10/25,0,,,18.46,1.107,0.000,3.252
1950/10/26,2,,,18.46,1.095,2.000,3.252
1950/10/27,28,,,18.46,4.293,28.000,3.252
1950/10/28,3,,,18.46,1.136,3.000,3.252
1950/10/29,3,,,18.46,1.134,3.000,3.252
1950/10/30,8,,,18.46,1.165,8.000,3.252
1950/10/31,0,,,18.46,1.142,0.000,3.252
1950/11/1,0,,,18.46,1.119,0.000,3.252
1950/11/2,0,,,18.46,1.096,0.000,3.252
1950/11/3,0,,,18.46,1.074,0.000,3.252
1950/11/4,0,,,18.46,1.053,0.000,3.252
1950/11/5,0,,,18.46,1.032,0.000,3.252
1950/11/6,10,,,18.46,1.054,10.000,3.252
1950/11/7,6,,,18.46,1.063,6.000,3.252
1950/11/8,0,,,18.46,1.042,0.000,3.252
1950/11/9,0,,,18.46,1.021,0.000,3.252
1950/11/10,0,,,18.46,1.000,0.000,3.252
1950/11/11,0,,,18.46,0.980,0.000,3.252
1950/11/12,1,,,18.46,0.964,1.000,3.252
1950/11/13,0,,,18.46,0.945,0.000,3.252
1950/11/14,0,,,18.46,0.926,0.000,3.252
1950/11/15,0,,,18.46,0.908,0.000,3.252
1950/11/16,5,,,18.46,0.903,5.000,3.252
1950/11/17,5,,,18.46,0.899,5.000,3.252
1950/11/18,9,,,18.46,0.909,9.000,3.252
1950/11/19,0,,,18.46,0.891,0.000,3.252
1950/11/20,2,,,18.46,0.880,2.000,3.252
1950/11/21,0,,,18.46,0.863,0.000,3.252
1950/11/22,0,,,18.46,0.845,0.000,3.252
1950/11/23,1,,,18.46,0.831,1.000,3.252
1950/11/24,0,,,18.46,0.815,0.000,3.252
1950/11/25,3,,,18.46,0.806,3.000,3.252
1950/11/26,6,,,18.46,0.804,6.000,3.252
1950/11/27,2,,,18.46,0.794,2.000,3.252
1950/11/28,27,,,18.46,1.266,27.000,3.252
1950/11/29,6,,,18.46,0.857,6.000,3.252
1950/11/30,3,,,18.46,0.857,3.000,3.252
1950/12/1,7,,,18.46,0.877,7.000,3.252
1950/12/2,24,,,18.46,4.458,24.000,3.252
1950/12/3,5,,,18.46,0.944,5.000,3.252
1950/12/4,4,,,18.46,0.954,4.000,3.252
1950/12/5,2,,,18.46,0.950,2.000,3.252
1950/12/6,0,,,18.46,0.931,0.000,3.252
1950/12/7,1.5,,,18.46,0.922,1.500,3.252
1950/12/8,29.5,,,18.46,6.647,29.500,3.252
1950/12/9,0,,,18.46,0.948,0.000,3.252
1950/12/10,0,,,18.46,0.929,0.000,3.252
1950/12/11,18,,,18.46,4.365,18.000,3.252
1950/12/12,7,,,18.46,1.014,7.000,3.252
1950/12/13,0,,,18.46,0.994,0.000,3.252
1950/12/14,0,,,18.46,0.974,0.000,3.252
1950/12/15,4,,,18.46,0.983,4.000,3.252
1950/12/16,1.3,,,18.46,0.972,1.300,3.252
1950/12/17,26.1,,,18.46,6.319,26.100,3.252
1950/12/18,0,,,18.46,0.997,0.000,3.252
1950/12/19,14,,,18.46,3.345,14.000,3.252
1950/12/20,0,,,18.46,1.020,0.000,3.252
1950/12/21,1.3,,,18.46,1.010,1.300,3.252
1950/12/22,11.79,,,18.46,2.175,11.790,3.252
1950/12/23,2,,,18.46,1.049,2.000,3.252
1950/12/24,3,,,18.46,1.050,3.000,3.252
1950/12/25,2,,,18.46,1.043,2.000,3.252
1950/12/26,0,,,18.46,1.022,0.000,3.252
1950/12/27,0,,,18.46,1.002,0.000,3.252
1950/12/28,0,,,18.46,0.982,0.000,3.252
1950/12/29,0.8,,,18.46,0.966,0.800,3.252
1950/12/30,0,,,18.46,0.947,0.000,3.252
1950/12/31,0,,,18.46,0.928,0.000,3.252
1951/01/1,0,,,18.46,0.910,0.000,3.252
1951/01/2,0,,,18.46,0.891,0.000,3.252
1951/01/3,4,,,18.46,0.888,4.000,3.252
1951/01/4,17.4,,,18.46,0.939,17.400,3.252
1951/01/5,0,,,18.46,0.916,0.000,3.252
1951/01/6,0,,,18.46,0.898,0.000,3.252
1951/01/7,3.8,,,18.46,0.897,3.800,3.252
1951/01/8,7.2,,,18.46,0.911,7.200,3.252
1951/01/9,0,,,18.46,0.892,0.000,3.252
1951/01/10,0,,,18.46,0.874,0.000,3.252
1951/01/11,0,,,18.46,0.857,0.000,3.252
1951/01/12,0,,,18.46,0.840,0.000,3.252
1951/01/13,0,,,18.46,0.823,0.000,3.252
1951/01/14,11,,,18.46,0.841,11.000,3.252
1951/01/15,0,,,18.46,0.824,0.000,3.252
1951/01/16,1,,,18.46,0.811,1.000,3.252
1951/01/17,0,,,18.46,0.795,0.000,3.252
1951/01/18,0,,,18.46,0.779,0.000,3.252
1951/01/19,0,,,18.46,0.764,0.000,3.252
1951/01/20,1.6,,,18.46,0.753,1.600,3.252
1951/01/21,2,,,18.46,0.743,2.000,3.252
1951/01/22,14,,,18.46,0.763,14.000,3.252
1951/01/23,0,,,18.46,0.747,0.000,3.252
1951/01/24,1.8,,,18.46,0.739,1.800,3.252
1951/01/25,3,,,18.46,0.733,3.000,3.252
1951/01/26,13,,,18.46,0.760,13.000,3.252
1951/01/27,0,,,18.46,0.745,0.000,3.252
1951/01/28,1.7,,,18.46,0.737,1.700,3.252
1951/01/29,1.8,,,18.46,0.729,1.800,3.252
1951/01/30,0,,,18.46,0.714,0.000,3.252
1951/01/31,0,,,18.46,0.700,0.000,3.252
1951/02/1,1,,,18.46,0.689,1.000,3.252
1951/02/2,6.6,,,18.46,0.694,6.600,3.252
1951/02/3,2,,,18.46,0.687,2.000,3.252
1951/02/4,1.2,,,18.46,0.677,1.200,3.252
1951/02/5,16.3,,,18.46,0.712,16.300,3.252
1951/02/6,6.5,,,18.46,0.726,6.500,3.252
1951/02/7,11.1,,,18.46,0.763,11.100,3.252
1951/02/8,3,,,18.46,0.764,3.000,3.252
1951/02/9,0,,,18.46,0.749,0.000,3.252
1951/02/10,22.9,,,18.46,3.127,22.900,3.252
1951/02/11,1.2,,,18.46,0.790,1.200,3.252
1951/02/12,1.8,,,18.46,0.786,1.800,3.252
1951/02/13,38.69,,,18.46,9.466,38.690,3.252
1951/02/14,4,,,18.46,0.856,4.000,3.252
1951/02/15,44,,,18.46,17.791,44.000,3.252
1951/02/16,0,,,18.46,0.886,0.000,3.252
1951/02/17,0,,,18.46,0.868,0.000,3.252
1951/02/18,1.5,,,18.46,0.865,1.500,3.252
1951/02/19,0,,,18.46,0.848,0.000,3.252
1951/02/20,0,,,18.46,0.831,0.000,3.252
1951/02/21,0,,,18.46,0.815,0.000,3.252
1951/02/22,0,,,18.46,0.798,0.000,3.252
1951/02/23,0,,,18.46,0.782,0.000,3.252
1951/02/24,0,,,18.46,0.767,0.000,3.252
1951/02/25,0,,,18.46,0.751,0.000,3.252
1951/02/26,0,,,18.46,0.736,0.000,3.252
1951/02/27,0,,,18.46,0.722,0.000,3.252
1951/02/28,2.8,,,18.46,0.720,2.800,3.252
1951/03/1,0,,,18.46,0.706,0.000,3.252
1951/03/2,0,,,18.46,0.706,0.000,3.252
1951/03/3,28.5,,,18.46,3.613,28.500,3.252
1951/03/4,13.8,,,18.46,2.430,13.800,3.252
1951/03/5,0,,,18.46,0.789,0.000,3.252
1951/03/6,0,,,18.46,0.774,0.000,3.252
1951/03/7,0,,,18.46,0.758,0.000,3.252
1951/03/8,0,,,18.46,0.743,0.000,3.252
1951/03/9,42.8,,,18.46,9.753,42.800,3.252
1951/03/10,0,,,18.46,0.777,0.000,3.252
1951/03/11,0,,,18.46,0.761,0.000,3.252
1951/03/12,0,,,18.46,0.746,0.000,3.252
1951/03/13,2,,,18.46,0.747,2.000,3.252
1951/03/14,0,,,18.46,0.732,0.000,3.252
1951/03/15,0,,,18.46,0.717,0.000,3.252
1951/03/16,18,,,18.46,3.384,18.000,3.252
1951/03/17,0,,,18.46,0.752,0.000,3.252
1951/03/18,0,,,18.46,0.737,0.000,3.252
1951/03/19,0,,,18.46,0.722,0.000,3.252
1951/03/20,0,,,18.46,0.708,0.000,3.252
1951/03/21,0,,,18.46,0.694,0.000,3.252
1951/03/22,32,,,18.46,5.899,32.000,3.252
1951/03/23,8.5,,,18.46,1.063,8.500,3.252
1951/03/24,0,,,18.46,0.778,0.000,3.252
1951/03/25,0,,,18.46,0.762,0.000,3.252
1951/03/26,6,,,18.46,0.790,6.000,3.252
1951/03/27,24.7,,,18.46,6.395,24.700,3.252
1951/03/28,0.5,,,18.46,0.826,0.500,3.252
1951/03/29,0,,,18.46,0.809,0.000,3.252
1951/03/30,0,,,18.46,0.793,0.000,3.252
1951/03/31,0,,,18.46,0.777,0.000,3.252
1951/04/1,0,,,18.46,0.762,0.000,3.252
1951/04/2,0,,,18.46,0.746,0.000,3.252
1951/04/3,0,,,18.46,0.732,0.000,3.252
1951/04/4,52,,,18.46,11.081,52.000,3.252
1951/04/5,40.3,,,18.46,19.286,40.300,3.252
1951/04/6,4,,,18.46,0.860,4.000,3.252
1951/04/7,1,,,18.46,0.853,1.000,3.252
1951/04/8,0,,,18.46,0.836,0.000,3.252
1951/04/9,1.2,,,18.46,0.831,1.200,3.252
1951/04/10,2.2,,,18.46,0.834,2.200,3.252
1951/04/11,1.2,,,18.46,0.828,1.200,3.252
1951/04/12,0,,,18.46,0.811,0.000,3.252
1951/04/13,0.5,,,18.46,0.799,0.500,3.252
1951/04/14,0,,,18.46,0.783,0.000,3.252
1951/04/15,0,,,18.46,0.767,0.000,3.252
1951/04/16,0,,,18.46,0.752,0.000,3.252
1951/04/17,3.5,,,18.46,0.756,3.500,3.252
1951/04/18,8.1,,,18.46,0.785,8.100,3.252
1951/04/19,16.2,,,18.46,2.285,16.200,3.252
1951/04/20,20.4,,,18.46,4.682,20.400,3.252
1951/04/21,1.8,,,18.46,0.878,1.800,3.252
1951/04/22,11.2,,,18.46,2.038,11.200,3.252
1951/04/23,1.5,,,18.46,0.919,1.500,3.252
1951/04/24,4.8,,,18.46,0.937,4.800,3.252
1951/04/25,16,,,18.46,3.708,16.000,3.252
1951/04/26,19.09,,,18.46,5.641,19.090,3.252
1951/04/27,43.5,,,18.46,17.503,43.500,3.252
1951/04/28,3.7,,,18.46,1.091,3.700,3.252
1951/04/29,0,,,18.46,1.069,0.000,3.252
1951/04/30,1.8,,,18.46,1.066,1.800,3.252
1951/05/1,0,,,18.46,1.044,0.000,3.252
1951/05/2,2.8,,,18.46,1.048,2.800,3.252
1951/05/3,0,,,18.46,1.027,0.000,3.252
1951/05/4,0,,,18.46,1.006,0.000,3.252
1951/05/5,0,,,18.46,0.986,0.000,3.252
1951/05/6,0,,,18.46,0.967,0.000,3.252
1951/05/7,0,,,18.46,0.947,0.000,3.252
1951/05/8,2.8,,,18.46,0.944,2.800,3.252
1951/05/9,2,,,18.46,0.937,2.000,3.252
1951/05/10,0,,,18.46,0.918,0.000,3.252
1951/05/11,20,,,18.46,2.643,20.000,3.252
1951/05/12,4,,,18.46,0.971,4.000,3.252
1951/05/13,11.5,,,18.46,1.489,11.500,3.252
1951/05/14,6.801,,,18.46,1.043,6.801,3.252
1951/05/15,4.199,,,18.46,1.052,4.199,3.252
1951/05/16,1,,,18.46,1.037,1.000,3.252
1951/05/17,0,,,18.46,1.017,0.000,3.252
