date,Q_sim_m3s,Q_obs_m3s,P_mm
1950-03-28,1.719898857711363,0.942,1.0
1950-03-29,1.6347065756459538,0.923,0.0
1950-03-30,1.6117573720915783,0.905,0.0
1950-03-31,1.594150700697859,0.887,0.0
1950-04-01,3.9004466732796796,0.93,14.0
1950-04-02,8.525334818947284,3.988,23.1
1950-04-03,4.260885477249518,0.985,4.0
1950-04-04,1.9823085605797293,0.965,0.0
1950-04-05,1.6717651694425073,0.953,1.0
1950-04-06,6.027965235570042,4.227,20.8
1950-04-07,2.7571992125785343,0.982,0.5
1950-04-08,1.8087226465659123,0.974,1.7
1950-04-09,1.6837699837429594,0.962,1.0
1950-04-10,1.6649557473740693,0.943,0.0
1950-04-11,1.6551501997428706,0.924,0.0
1950-04-12,1.643323888899901,0.905,0.0
1950-04-13,1.6286636913752726,0.887,0.0
1950-04-14,1.611505138271271,0.869,0.0
1950-04-15,10.698869391662065,5.041,34.0
1950-04-16,4.355429895714797,0.912,1.8
1950-04-17,1.9851378305469445,0.894,0.0
1950-04-18,1.6867911577060846,0.886,1.5
1950-04-19,9.172856260367276,7.335,29.8
1950-04-20,7.617195221573743,3.925,14.0
1950-04-21,3.168784225145217,0.965,0.7
1950-04-22,1.9310309177427216,0.957,1.3
1950-04-23,3.451291847036957,2.399,11.5
1950-04-24,2.523781266780033,1.009,3.2
1950-04-25,8.45213425751452,7.985,25.5
1950-04-26,4.420443617111713,1.069,3.9
1950-04-27,7.537092968947274,6.854,20.0
1950-04-28,3.686286393061177,1.109,2.0
1950-04-29,9.382525533147824,9.868,26.29
1950-04-30,12.612594592092616,11.63,27.0
1950-05-01,5.700480309885879,1.211,4.0
1950-05-02,3.0664666729173335,1.207,2.0
1950-05-03,2.543846356957623,1.217,3.5
1950-05-04,2.288429267402626,1.202,1.0
1950-05-05,3.97357837493148,3.026,11.7
1950-05-06,3.207099266612248,1.252,4.0
1950-05-07,5.379242331638793,4.044,14.2
1950-05-08,3.7718379190615217,1.302,4.1
1950-05-09,8.20447044166354,7.446,22.0
1950-05-10,4.233628098506389,1.332,2.0
1950-05-11,4.616711558191676,2.607,10.0
1950-05-12,2.769474039308888,1.342,0.0
1950-05-13,2.688794281145209,1.353,4.5
1950-05-14,9.468668585894662,9.245,27.5
1950-05-15,11.331878013563186,9.103,22.7
1950-05-16,4.9567423947469855,1.412,1.3
1950-05-17,3.375857007013285,1.417,3.5
1950-05-18,3.1099454937386066,1.43,4.5
1950-05-19,6.998896085516412,6.662,19.2
1950-05-20,4.013272758959885,1.453,1.8
1950-05-21,2.946143187773757,1.443,2.1
1950-05-22,3.6347394219051883,1.626,8.0
1950-05-23,8.561438675847448,7.727,22.5
1950-05-24,7.078723395175897,3.508,11.0
1950-05-25,7.805599458229816,5.649,15.5
1950-05-26,5.041530987951333,1.597,5.0
1950-05-27,8.7087572144353,8.14,21.0
1950-05-28,4.681744950123296,1.617,2.0
1950-05-29,3.0865541678327593,1.587,0.3
1950-05-30,2.9016465065585164,1.571,1.8
1950-05-31,3.7937666591997194,1.88,8.5
1950-06-01,3.2669411455520985,1.597,3.0
1950-06-02,3.3771390922728246,1.607,5.3
1950-06-03,5.267614394885756,3.29,12.6
1950-06-04,3.392894555295635,1.613,0.8
1950-06-05,5.799429275210564,4.162,15.0
1950-06-06,16.196586631295638,14.502,38.7
1950-06-07,6.835637649540495,1.669,2.5
1950-06-08,11.508267872325602,12.018,27.0
1950-06-09,5.255014703323728,1.675,0.8
1950-06-10,4.344959714685828,1.703,6.199
1950-06-11,3.387731643866468,1.691,2.2
1950-06-12,6.6893256382571655,6.46,17.5
1950-06-13,7.96947973483362,5.842,15.3
1950-06-14,7.56793233160865,4.755,12.7
1950-06-15,5.5761096545000415,1.808,6.5
1950-06-16,3.5066206077221205,1.772,0.0
1950-06-17,3.3248567229056234,1.772,4.0
1950-06-18,3.590325562734645,1.783,5.5
1950-06-19,3.2131313624345665,1.764,2.0
1950-06-20,8.46055199887142,7.74,23.5
1950-06-21,5.967582524385951,1.814,6.3
1950-06-22,3.7759584333731953,1.789,1.201
1950-06-23,3.219436324750046,1.765,1.5
1950-06-24,15.470192608659325,15.105,42.09
1950-06-25,8.804810991837563,3.334,8.8
1950-06-26,4.312306889535762,1.786,0.0
1950-06-27,6.0792389335092505,5.366,14.0
1950-06-28,6.8685896809781575,4.729,12.5
1950-06-29,4.694018417371977,1.84,3.5
1950-06-30,12.242831296939794,12.894,30.7
1950-07-01,6.731356887053112,1.879,4.6
1950-07-02,4.249142263720202,1.863,2.2
1950-07-03,3.549264922675069,1.851,2.6
1950-07-04,3.363889966269714,1.814,0.0
1950-07-05,3.329994970879533,1.777,0.0
1950-07-06,3.3074342931006293,1.742,0.0
1950-07-07,5.113060102807434,2.94,12.2
1950-07-08,3.5254286377216326,1.736,0.0
1950-07-09,3.2667718410773396,1.712,1.5
1950-07-10,3.2048705623304743,1.684,1.0
1950-07-11,3.1629627895511074,1.661,1.6
1950-07-12,3.1205279443675282,1.639,1.8
1950-07-13,3.0756499276003715,1.622,2.8
1950-07-14,3.0285605882444617,1.589,0.0
1950-07-15,3.676208877506452,1.596,7.5
1950-07-16,3.0200097075975596,1.57,1.0
1950-07-17,2.8989308366035598,1.538,0.0
1950-07-18,2.840772725922746,1.508,0.0
1950-07-19,2.7893091982133047,1.477,0.0
1950-07-20,2.7380498948517804,1.448,0.0
1950-07-21,2.68642127497201,1.419,0.0
1950-07-22,2.6345281280204698,1.39,0.0
1950-07-23,2.582530986640373,1.363,0.0
1950-07-24,2.530575262287899,1.335,0.0
1950-07-25,2.478785867709411,1.309,0.0
1950-07-26,2.4272692215549916,1.283,0.0
1950-07-27,2.376115749722198,1.257,0.0
1950-07-28,2.325402116946485,1.232,0.0
1950-07-29,2.4630684713969155,1.216,4.8
1950-07-30,7.237931868863006,1.235,21.8
1950-07-31,5.061844785336623,1.237,6.8
1950-08-01,3.8278694717903177,1.238,5.8
1950-08-02,2.381583319004449,1.213,0.0
1950-08-03,8.098455798159668,3.308,25.3
1950-08-04,11.092836700981549,5.927,24.0
1950-08-05,4.346585891413617,1.267,0.0
1950-08-06,2.483287768852086,1.241,0.0
1950-08-07,2.811036581792758,1.265,6.8
1950-08-08,3.37273842285255,1.294,7.5
1950-08-09,2.6961215992432024,1.29,3.0
1950-08-10,2.278963037535716,1.271,1.0
1950-08-11,3.3652845608369057,1.308,9.5
1950-08-12,2.339276535448699,1.282,0.0
1950-08-13,3.116551747049559,1.311,8.5
1950-08-14,2.3782728773704473,1.297,1.8
1950-08-15,3.8747118765294415,1.69,11.2
1950-08-16,3.3482782729750515,1.345,5.3
1950-08-17,7.8140202804322065,5.607,21.7
1950-08-18,3.495387322252976,1.355,0.0
1950-08-19,2.8463566669542333,1.365,4.8
1950-08-20,2.230828204357852,1.342,0.5
1950-08-21,2.1458659031519924,1.329,2.0
1950-08-22,2.1203434317152965,1.302,0.0
1950-08-23,3.5652696488847293,1.468,10.79
1950-08-24,6.220979974543795,3.605,16.2
1950-08-25,4.595086514517718,1.403,6.8
1950-08-26,2.5374551647318806,1.378,0.5
1950-08-27,4.510496958624477,3.018,13.5
1950-08-28,2.5176070452104877,1.387,0.0
1950-08-29,2.1446078210865323,1.364,0.7
1950-08-30,3.1659080029874502,1.399,9.2
1950-08-31,5.238810634770554,3.084,13.8
1950-09-01,7.800710538371533,5.388,18.5
1950-09-02,3.4259609069007757,1.442,0.0
1950-09-03,2.2735317168713647,1.413,0.0
1950-09-04,2.132052372763787,1.385,0.0
1950-09-05,2.1064270929039295,1.357,0.0
1950-09-06,3.534381771191056,1.619,10.7
1950-09-07,2.462606646655618,1.378,1.7
1950-09-08,9.11111643428742,7.213,27.5
1950-09-09,3.831253758483279,1.387,0.0
1950-09-10,2.312601565762383,1.359,0.0
1950-09-11,2.125795172867699,1.332,0.0
1950-09-12,2.093533002913446,1.305,0.0
1950-09-13,2.075724095829663,1.279,0.0
1950-09-14,2.056276699030944,1.253,0.0
1950-09-15,2.033838342676205,1.228,0.0
1950-09-16,2.008736127567696,1.204,0.0
1950-09-17,1.9814263862457135,1.18,0.0
1950-09-18,1.9523197331163513,1.156,0.0
1950-09-19,2.3744322259494792,1.158,6.3
1950-09-20,1.9494519896469023,1.137,0.5
1950-09-21,1.8718026459571502,1.114,0.0
1950-09-22,1.834825879388078,1.092,0.0
1950-09-23,1.8020357350886285,1.08,2.8
1950-09-24,1.769244874587424,1.058,0.0
1950-09-25,1.7361045282207779,1.037,0.0
1950-09-26,1.7027027289373493,1.016,0.0
1950-09-27,3.448667860255533,1.027,12.0
1950-09-28,3.201168074688825,1.029,6.6
1950-09-29,2.8657312947436084,1.032,6.0
1950-09-30,1.7718400626873105,1.011,0.0
1950-10-01,1.6233378050472105,0.996,1.5
1950-10-02,1.5862333122079233,0.976,0.0
1950-10-03,2.052650904688479,0.978,6.5
1950-10-04,5.883875016155383,1.247,18.9
1950-10-05,10.463621408226919,4.692,25.8
1950-10-06,4.192015336809864,1.059,1.8
1950-10-07,2.9183017586959203,1.077,5.5
1950-10-08,1.786128322284214,1.056,0.0
1950-10-09,1.6545163487671806,1.047,1.8
1950-10-10,1.6375498063805702,1.026,0.0
1950-10-11,1.7720913424001188,1.031,4.5
1950-10-12,2.8248953788884887,1.062,9.0
1950-10-13,4.851200803253866,2.141,13.8
1950-10-14,4.803866970177655,1.558,10.4
1950-10-15,3.520557979185928,1.169,6.0
1950-10-16,3.2294535353351286,1.197,7.0
1950-10-17,1.870141236567783,1.173,0.0
1950-10-18,2.300340134585323,1.197,7.0
1950-10-19,3.480786072451047,1.482,10.0
1950-10-20,1.939282359779115,1.213,0.0
1950-10-21,1.7257101815834348,1.189,0.0
1950-10-22,1.693013218666116,1.165,0.0
1950-10-23,1.6785785053180404,1.153,2.0
1950-10-24,1.6635060449363221,1.13,0.0
1950-10-25,1.6460108266381266,1.107,0.0
1950-10-26,1.6262859298449726,1.095,2.0
1950-10-27,8.473624633876684,4.293,28.0
1950-10-28,4.045194545875467,1.136,3.0
1950-10-29,2.402038136204475,1.134,3.0
1950-10-30,2.8850996004360567,1.165,8.0
1950-10-31,1.7925984737790643,1.142,0.0
1950-11-01,1.6570544854253124,1.119,0.0
1950-11-02,1.6323931596843295,1.096,0.0
1950-11-03,1.6179653789777033,1.074,0.0
1950-11-04,1.6022340250222795,1.053,0.0
1950-11-05,1.5842508689586243,1.032,0.0
1950-11-06,2.8345720965608825,1.054,10.0
1950-11-07,2.726096485038732,1.063,6.0
1950-11-08,1.686962040782574,1.042,0.0
1950-11-09,1.5487156353582219,1.021,0.0
1950-11-10,1.5163114149514079,1.0,0.0
1950-11-11,1.494961238996255,0.98,0.0
1950-11-12,1.473620157730556,0.964,1.0
1950-11-13,1.451220362427352,0.945,0.0
1950-11-14,1.4278505995296964,0.926,0.0
1950-11-15,1.4037061578128263,0.908,0.0
1950-11-16,1.6543735931940287,0.903,5.0
1950-11-17,1.8306009889756263,0.899,5.0
1950-11-18,2.808991832521258,0.909,9.0
1950-11-19,1.5054317099137042,0.891,0.0
1950-11-20,1.3340991271993672,0.88,2.0
1950-11-21,1.2970162309795188,0.863,0.0
1950-11-22,1.2750034395787317,0.845,0.0
1950-11-23,1.2540045186980628,0.831,1.0
1950-11-24,1.232512049763037,0.815,0.0
1950-11-25,1.2542600211080994,0.806,3.0
1950-11-26,1.7965341009968931,0.804,6.0
1950-11-27,1.3575985895433524,0.794,2.0
1950-11-28,8.15246639350531,1.266,27.0
1950-11-29,4.448750582794299,0.857,6.0
1950-11-30,2.2834838622002884,0.857,3.0
1950-12-01,2.3655012053037408,0.877,7.0
1950-12-02,7.716601863984878,4.458,24.0
1950-12-03,4.081176184270658,0.944,5.0
1950-12-04,2.4459250705687285,0.954,4.0
1950-12-05,1.5632130238925346,0.95,2.0
1950-12-06,1.3740485329222925,0.931,0.0
1950-12-07,1.3580978207850183,0.922,1.5
1950-12-08,8.772792654827292,6.647,29.5
1950-12-09,3.242886490564681,0.948,0.0
1950-12-10,1.6479279529898836,0.929,0.0
1950-12-11,4.973526905603196,4.365,18.0
1950-12-12,3.8392555170292737,1.014,7.0
1950-12-13,1.8440089823795203,0.994,0.0
1950-12-14,1.55736236201633,0.974,0.0
1950-12-15,1.6014502518621807,0.983,4.0
1950-12-16,1.5353789900839248,0.972,1.3
1950-12-17,7.716342545364516,6.319,26.1
1950-12-18,3.066745757219826,0.997,0.0
1950-12-19,4.689030716869697,3.345,14.0
1950-12-20,2.199635065621368,1.02,0.0
1950-12-21,1.6858016317162607,1.01,1.3
1950-12-22,3.3517641639892246,2.175,11.79
1950-12-23,2.162655083163179,1.049,2.0
1950-12-24,1.7962574157008775,1.05,3.0
1950-12-25,1.6571189072255013,1.043,2.0
1950-12-26,1.6347250064015941,1.022,0.0
1950-12-27,1.6229927687547936,1.002,0.0
1950-12-28,1.6097634910082574,0.982,0.0
1950-12-29,1.5940396154843621,0.966,0.8
1950-12-30,1.5760926017186556,0.947,0.0
1950-12-31,1.5562889998016134,0.928,0.0
1951-01-01,1.5349583074436368,0.91,0.0
1951-01-02,1.5123842501390103,0.891,0.0
1951-01-03,1.5619319965277825,0.888,4.0
1951-01-04,4.920621022044521,0.939,17.4
1951-01-05,2.1950887337086584,0.916,0.0
1951-01-06,1.5449284048110605,0.898,0.0
1951-01-07,1.5030110582400567,0.897,3.8
1951-01-08,2.132097267957352,0.911,7.2
1951-01-09,1.5018862545262524,0.892,0.0
1951-01-10,1.412007343395975,0.874,0.0
1951-01-11,1.3852773184940321,0.857,0.0
1951-01-12,1.3648720088852317,0.84,0.0
1951-01-13,1.3442277949813477,0.823,0.0
1951-01-14,2.934096773158637,0.841,11.0
1951-01-15,1.5199423775823468,0.824,0.0
1951-01-16,1.3235471147792979,0.811,1.0
1951-01-17,1.284141048524592,0.795,0.0
1951-01-18,1.2625061642930446,0.779,0.0
1951-01-19,1.242187081834914,0.764,0.0
1951-01-20,1.2213883941259256,0.753,1.6
1951-01-21,1.2000432626783128,0.743,2.0
1951-01-22,3.730546817603437,0.763,14.0
1951-01-23,1.6412633363112588,0.747,0.0
1951-01-24,1.2215678412392368,0.739,1.8
1951-01-25,1.1945926834591705,0.733,3.0
1951-01-26,3.4535563862510106,0.76,13.0
1951-01-27,1.535514576616185,0.745,0.0
1951-01-28,1.180608747362323,0.737,1.7
1951-01-29,1.1286549737288452,0.729,1.8
1951-01-30,1.1113233249615635,0.714,0.0
1951-01-31,1.0967948989539962,0.7,0.0
1951-02-01,1.081509226827498,0.689,1.0
1951-02-02,1.7749672168619823,0.694,6.6
1951-02-03,1.296449123995574,0.687,2.0
1951-02-04,1.0726272704548603,0.677,1.2
1951-02-05,4.329898361915309,0.712,16.3
1951-02-06,3.189223991634505,0.726,6.5
1951-02-07,3.8419739931552916,0.763,11.1
1951-02-08,2.120261193513949,0.764,3.0
1951-02-09,1.206854112066611,0.749,0.0
1951-02-10,6.315235087054263,3.127,22.9
1951-02-11,2.6184622646401237,0.79,1.2
1951-02-12,1.40674233719115,0.786,1.8
1951-02-13,12.319007245260776,9.466,38.69
1951-02-14,5.086413319319974,0.856,4.0
1951-02-15,16.81811667234219,17.791,44.0
1951-02-16,5.1231233702522765,0.886,0.0
1951-02-17,1.953711240453618,0.868,0.0
1951-02-18,1.5672759084861407,0.865,1.5
1951-02-19,1.552771925107716,0.848,0.0
1951-02-20,1.5738981761761162,0.831,0.0
1951-02-21,1.5917534122495116,0.815,0.0
1951-02-22,1.602827006848821,0.798,0.0
1951-02-23,1.6076755346119154,0.782,0.0
1951-02-24,1.6071994017582132,0.767,0.0
1951-02-25,1.6022184510727526,0.751,0.0
1951-02-26,1.5934391722692463,0.736,0.0
1951-02-27,1.5814660878966307,0.722,0.0
1951-02-28,1.5668161425474654,0.72,2.8
1951-03-01,1.5499315103715994,0.706,0.0
1951-03-02,1.531190562779972,0.706,0.0
1951-03-03,8.560653881455291,3.613,28.5
1951-03-04,7.241634485399977,2.43,13.8
1951-03-05,2.804384205798063,0.789,0.0
1951-03-06,1.7278670266409477,0.774,0.0
1951-03-07,1.6019348851594393,0.758,0.0
1951-03-08,1.5852039512528573,0.743,0.0
1951-03-09,14.206379731791833,9.753,42.8
1951-03-10,4.770214772534337,0.777,0.0
1951-03-11,2.0601846442461142,0.761,0.0
1951-03-12,1.7353221048259337,0.746,0.0
1951-03-13,1.7033711361250814,0.747,2.0
1951-03-14,1.7010261325849814,0.732,0.0
1951-03-15,1.6976281288813118,0.717,0.0
1951-03-16,5.196812627809318,3.384,18.0
1951-03-17,2.4498429195955467,0.752,0.0
1951-03-18,1.7959188162748743,0.737,0.0
1951-03-19,1.712008945966237,0.722,0.0
1951-03-20,1.6928011892531802,0.708,0.0
1951-03-21,1.6783959774296853,0.694,0.0
1951-03-22,10.006845136173595,5.899,32.0
1951-03-23,6.116978118564877,1.063,8.5
1951-03-24,2.562872431532904,0.778,0.0
1951-03-25,1.8350670303312027,0.762,0.0
1951-03-26,2.1452544269071607,0.79,6.0
1951-03-27,7.958849153980441,6.395,24.7
1951-03-28,3.3947944758648356,0.826,0.5
1951-03-29,1.9857627603669996,0.809,0.0
1951-03-30,1.82075554845373,0.793,0.0
1951-03-31,1.7993915356345027,0.777,0.0
1951-04-01,1.790818346228609,0.762,0.0
1951-04-02,1.7800793769734005,0.746,0.0
1951-04-03,1.7659838068426739,0.732,0.0
1951-04-04,18.320437032077926,11.081,52.0
1951-04-05,20.905105538936763,19.286,40.3
1951-04-06,7.431773622026759,0.86,4.0
1951-04-07,3.1135960111405776,0.853,1.0
1951-04-08,2.177496956582016,0.836,0.0
1951-04-09,2.0929149970060794,0.831,1.2
1951-04-10,2.100633984703749,0.834,2.2
1951-04-11,2.1112690250984087,0.828,1.2
1951-04-12,2.115373910322662,0.811,0.0
1951-04-13,2.1128850284002447,0.799,0.5
1951-04-14,2.104705565093459,0.783,0.0
1951-04-15,2.0917215147341413,0.767,0.0
1951-04-16,2.0747035573698205,0.752,0.0
1951-04-17,2.071785593014992,0.756,3.5
1951-04-18,2.8919854987791123,0.785,8.1
1951-04-19,5.771208472414937,2.285,16.2
1951-04-20,8.680278905823279,4.682,20.4
1951-04-21,4.0286352590224475,0.878,1.8
1951-04-22,4.625767011432403,2.038,11.2
1951-04-23,2.7528286253500154,0.919,1.5
1951-04-24,2.5732737018751815,0.937,4.8
1951-04-25,5.456812354575252,3.708,16.0
1951-04-26,8.145903274083704,5.641,19.09
1951-04-27,18.964894709434347,17.503,43.5
1951-04-28,7.280353635255436,1.091,3.7
1951-04-29,3.1434408830531044,1.069,0.0
1951-04-30,2.4368157554581464,1.066,1.8
1951-05-01,2.3721063348927385,1.044,0.0
1951-05-02,2.3750657885180178,1.048,2.8
1951-05-03,2.3783869739574532,1.027,0.0
1951-05-04,2.375217893846121,1.006,0.0
1951-05-05,2.365764869968336,0.986,0.0
1951-05-06,2.3509289734407184,0.967,0.0
1951-05-07,2.331566684099809,0.947,0.0
1951-05-08,2.308420256731191,0.944,2.8
1951-05-09,2.2821254184343185,0.937,2.0
1951-05-10,2.253225932282348,0.918,0.0
1951-05-11,6.358552977089898,2.643,20.0
1951-05-12,4.033698892799365,0.971,4.0
1951-05-13,4.901426778231953,1.489,11.5
1951-05-14,4.137795063176407,1.043,6.801
1951-05-15,3.167755790225846,1.052,4.199
1951-05-16,2.3219125278695225,1.037,1.0
1951-05-17,2.20792316806704,1.017,0.0
1951-05-18,5.996196194659779,3.535,19.0
1951-05-19,3.0181554242660518,1.039,0.0
1951-05-20,10.960931141928883,8.652,31.6
1951-05-21,6.748333293439275,1.829,8.5
1951-05-22,5.278798777381263,2.044,9.0
1951-05-23,4.039985679154324,1.198,6.0
1951-05-24,7.013447232847242,5.919,18.0
1951-05-25,3.3907038359530484,1.214,0.0
1951-05-26,2.4736417263352415,1.19,0.0
1951-05-27,2.4404309680746135,1.198,4.0
1951-05-28,5.146683976546631,3.979,15.2
1951-05-29,2.8981131575023333,1.214,0.0
1951-05-30,2.4264627941040233,1.19,0.0
1951-05-31,2.3605963163519252,1.166,0.0
1951-06-01,3.633417793335149,1.419,10.1
1951-06-02,9.711741164700559,7.348,26.0
1951-06-03,4.166097623783885,1.222,0.0
1951-06-04,2.5812027029519853,1.198,0.0
1951-06-05,3.0402009365290943,1.23,7.3
1951-06-06,3.131973700225499,1.249,5.601
1951-06-07,2.657742916047214,1.247,3.0
1951-06-08,2.3744665393004865,1.222,0.0
1951-06-09,2.3236566723527297,1.197,0.0
1951-06-10,2.2972083003337938,1.174,0.0
1951-06-11,2.2708071134802488,1.15,0.0
1951-06-12,2.242045751878067,1.127,0.0
1951-06-13,2.211065042795565,1.104,0.0
1951-06-14,2.1782482408552943,1.082,0.0
1951-06-15,2.143954271871049,1.061,0.0
1951-06-16,2.1084936083099812,1.04,0.0
1951-06-17,2.072132021592234,1.019,0.0
1951-06-18,2.8841727206100303,1.025,8.2
1951-06-19,4.1712600763172025,1.046,10.8
1951-06-20,2.326466053117569,1.025,0.0
1951-06-21,2.004522273458709,1.004,0.0
1951-06-22,2.9720545107739054,1.019,9.0
1951-06-23,13.873628069539869,6.334,38.3
1951-06-24,5.950517068944819,1.074,3.8
1951-06-25,2.617380167842844,1.052,0.0
1951-06-26,2.060017215574293,1.031,0.0
1951-06-27,2.3487886536329934,1.051,5.8
1951-06-28,9.454281381245455,7.739,28.3
1951-06-29,4.0977901682138445,1.082,1.0
1951-06-30,6.748155235641618,5.583,18.2
1951-07-01,6.923782853333329,4.342,14.0
1951-07-02,3.991306912795764,1.179,3.8
1951-07-03,4.059641103429707,1.89,8.7
1951-07-04,2.4712110910458125,1.199,0.5
1951-07-05,3.225030585158188,1.547,8.5
1951-07-06,7.113288193394986,6.171,19.5
1951-07-07,7.616682310998045,5.092,15.29
1951-07-08,3.6603833310316323,1.301,1.0
1951-07-09,4.016715144460848,2.155,9.1
1951-07-10,2.885257159709706,1.335,2.5
1951-07-11,3.5313432381547893,1.593,8.2
1951-07-12,8.896506744799893,8.24,24.0
1951-07-13,4.13828296079713,1.389,0.8
1951-07-14,14.280334099164367,15.157,38.0
1951-07-15,6.340590814063605,1.435,3.5
1951-07-16,6.08537434253932,4.503,12.2
1951-07-17,3.420356657641149,1.451,1.0
1951-07-18,7.093444806358636,7.462,19.4
1951-07-19,3.8508397595089074,1.467,1.0
1951-07-20,2.7992995531415676,1.438,0.0
1951-07-21,2.6810862911647284,1.409,0.0
1951-07-22,2.66656347981046,1.381,0.0
1951-07-23,2.6577033875119933,1.353,0.0
1951-07-24,2.6438418199497393,1.326,0.0
1951-07-25,2.624613171238781,1.299,0.0
1951-07-26,2.600751607353475,1.273,0.0
1951-07-27,2.5730098510383344,1.248,0.0
1951-07-28,2.5420464275509875,1.223,0.0
1951-07-29,2.508426323518738,1.199,0.0
1951-07-30,2.472633112209283,1.175,0.0
1951-07-31,2.435080660884794,1.152,0.3
1951-08-01,2.396123265799864,1.129,0.0
1951-08-02,2.3560643042562806,1.107,0.0
1951-08-03,2.315163607873001,1.085,0.0
1951-08-04,2.2736437459763184,1.063,0.0
1951-08-05,2.23169538155202,1.042,0.0
1951-08-06,2.189481838090947,1.021,0.0
1951-08-07,2.1471429949706775,1.0,0.0
1951-08-08,2.104798611406049,0.98,0.0
1951-08-09,2.0625511640284717,0.961,0.0
1951-08-10,2.020488270425406,0.942,0.0
1951-08-11,1.9786847601507236,0.923,0.0
1951-08-12,2.0792633083916576,0.91,4.5
1951-08-13,6.921502034375394,0.926,22.0
1951-08-14,5.526460776391329,0.94,9.5
1951-08-15,3.462162166039878,0.938,4.3
1951-08-16,6.450231806714705,1.502,18.0
